LOCUSTAG,SPECIES,FILENAME,CONTIG_COUNT,TOTAL_LENGTH,MIN,MAX,MEDIAN,MEAN,L50,N50,L90,N90,GC_PERCENT,T2T_SCAFFOLDS,TELOMERE_FWD,TELOMERE_REV
F27C1C19,Boletus rubissimus,Boletus_rubissimus_MICH10037,7359,47335226,2001,96698,4644,6432.29,1676,8111,5455,3060,48.36,0,6,3
F79D9E30,Boletus rubroflammeus,Boletus_rubroflammeus_NY13528,4704,40180592,2001,373245,3931,8541.79,470,18086,3075,3071,48.75,0,0,0
FCA569CD,Boletus rubropictus,Boletus_rubropictus_MICH10041,4693,42166900,2001,148187,5116,8985.06,722,13864,3120,3577,47.15,0,3,1
FA435047,Boletus rufocinnamomeus,Boletus_rufocinnamomeus_MICH10042,7383,58036457,2001,185560,4798,7860.82,1283,11161,5152,3321,48.88,0,10,5
F4EE25B1,Boletus semigastroideus,Boletus_semigastroideus_NY2072379,5675,46765991,2001,324313,3647,8240.70,435,18339,3740,2921,49.26,0,2,2
F5ADB586,Boletus sensibilis,Boletus_sensibilis_MICH10045,3674,38696353,2001,111171,6636,10532.49,671,16250,2414,4513,49.70,0,4,2
F324C3CF,Boletus separans,Boletus_separans_UT-M0000517,7181,51698464,2001,464211,4771,7199.34,1428,9644,5145,3173,49.70,0,3,4
F9B33AC8,Boletus smithii,Boletus_smithii_MICH10047,5177,36528251,2001,176149,4326,7055.87,939,9983,3691,3015,49.44,0,6,2
F59171FB,Boletus sp. MG55,Boletus_sp._MG55_MG55,5412,46034626,2003,145002,5088,8506.03,931,12900,3683,3522,50.25,0,8,5
F474DB2B,Boletus sp. MG95,Boletus_sp._MG95_MG95,4187,33302043,2002,115918,4847,7953.68,736,11673,2908,3341,49.93,0,6,13
F855CBA2,Boletus sp. NGJ,Boletus_sp._NGJ_NGJ,254,33471989,2033,2424109,16068,131779.48,18,520854,75,101453,49.13,0,3,3
FCF9B5FE,Boletus speciosus,Boletus_speciosus_MG10,1719,28159729,2001,312215,7823,16381.46,232,33176,966,6598,49.00,0,2,4
FEAD6D00,Boletus sphaerocystis,Boletus_sphaerocystis_MICH10049,7261,35954877,2001,71937,3640,4951.78,1814,5691,5664,2528,48.65,0,7,5
FDB530AC,Boletus subcaerulescens,Boletus_subcaerulescens_MIN-840070,2437,41422089,2002,619920,5666,16997.16,191,48380,1208,5750,49.52,0,3,1
FAC560BC,Boletus subdepauperatus,Boletus_subdepauperatus_MICH10052,8885,44263568,2001,100377,3586,4981.83,2151,5722,6911,2520,50.11,0,6,7
F0BDDC79,Boletus subgraveolens,Boletus_subgraveolens_MICH10053,4942,52063810,2001,228193,5807,10534.97,748,17866,3179,4211,48.61,0,6,6
FFB61F10,Boletus subluridellus,Boletus_subluridellus_MICH10055,11851,65063222,2001,129258,3897,5490.10,2748,6612,9049,2667,48.73,0,15,13
FD74E018,Boletus subparvulus,Boletus_subparvulus_MICH10057,4739,53104295,2002,247584,5786,11205.80,637,20173,2944,4316,50.03,0,6,3
F8B83044,Boletus subvelutipes,Boletus_subvelutipes_MG31,6324,44546065,2001,125307,4893,7043.97,1374,9336,4583,3226,48.37,0,4,3
F1C3D669,Boletus tomentosulus,Boletus_tomentosulus_MICH10061,4891,37587898,2001,93975,4886,7685.12,933,11322,3432,3279,49.99,0,8,15
F434EE9D,Boletus tylopilopsis,Boletus_tylopilopsis_TRTC161144,5736,46173915,2001,144678,4618,8049.85,933,12462,3953,3319,50.49,0,2,4
F1FECD01,Boletus variipes,Boletus_variipes_MICH10063,5559,47332997,2001,92235,5627,8514.66,1101,12378,3842,3711,49.02,0,3,6
FEF75508,Boletus vermiculosoides,Boletus_vermiculosoides_MICH41231,5611,55382810,2001,256916,5693,9870.40,871,15714,3677,3969,48.73,0,8,11
FC785E06,Boletus vermiculosus,Boletus_vermiculosus_MICH41204,7321,44249142,2001,69436,4265,6044.14,1653,7680,5480,2855,48.30,0,7,10
F977B819,Boletus vinaceobasis,Boletus_vinaceobasis_MICH10065,4026,41876844,2001,445944,4944,10401.60,454,19336,2519,3837,48.89,0,3,2
FEF6DD03,Bombardia bombarda,Bombardia_bombarda_SMH3391-2,20,38597794,3628,10136985,1219638,1929889.70,2,9882582,9,1300161,52.74,0,0,5
F3358076,Bondarzewia mesenterica,Bondarzewia_mesenterica_DSM_108281,1430,36669666,2008,206511,14512,25643.12,230,49224,801,11558,48.91,0,1,4
F22B2D3A,Boothiomyces macroporosus,Boothiomyces_macroporosus_PLAUS21,301,15598141,2020,400918,27181,51821.07,44,109397,153,26135,38.59,0,0,2
F18DB08B,Boothiomyces sp. JEL0838,Boothiomyces_sp._JEL0838_JEL0838,238,12750565,2021,625471,27899,53573.80,34,116125,109,31456,38.12,0,0,2
F2D1A5D6,Boothiomyces sp. JEL0866,Boothiomyces_sp._JEL0866_JEL0866,273,14102030,2004,476773,23494,51655.79,35,115383,120,33889,37.75,0,4,3
FFFB0CD2,Borealophlyctis nickersoniae,Borealophlyctis_nickersoniae_WJD170,3433,36849438,2002,109222,6666,10733.89,622,16855,2257,4535,50.61,0,10,16
FC072E5C,Bothia castanella,Bothia_castanella_NY817394,4788,26428871,2001,134844,3607,5519.81,972,6722,3623,2586,48.34,0,14,8
F751CAB6,Botryobasidium botryosum,Botryobasidium_botryosum_FD-172_SS1,334,46674321,2001,2162810,26324,139743.48,28,444941,104,109301,51.40,0,0,0
F16D54EC,Botryosphaeria agaves,Botryosphaeria_agaves_FJII-L1-SW-P2,2505,23635496,2002,74005,5908,9435.33,463,15609,1644,3814,53.99,0,4,1
F6B8AD89,Botryosphaeria dothidea,Botryosphaeria_dothidea_sdau11-99,88,51758482,5134,6145880,14302,588164.57,6,4039455,14,1049757,53.03,3,13,9
FDF2CA60,Botryosphaeria kuwatsukai,Botryosphaeria_kuwatsukai_KE8637,140,43668031,2019,3305469,165330,311914.51,18,741927,61,207149,54.73,0,5,11
FFFCF9DF,Sordariomycetes sp. S80-01Y,Botryosphaeria_sp._S80-01Y_S80-01Y,25,30901193,2049,3842293,948681,1236047.72,5,2672956,12,1002325,54.91,1,4,4
F6EB27D3,Botryotinia calthae,Botryotinia_calthae_MUCL2830,2269,45622605,2003,293700,6315,20106.92,229,59537,1069,6767,41.31,0,5,4
FA281E5A,Botryotinia convoluta,Botryotinia_convoluta_MUCL11595,1375,44580027,2011,436056,8815,32421.84,132,100874,574,12417,40.49,0,8,11
FE4A835E,Botryotinia globosa,Botryotinia_globosa_MUCL_444,27,45684854,247080,4093527,1945743,1692031.63,8,2511391,17,1078989,38.84,1,2,16
F89D60E5,Botryotinia narcissicola,Botryotinia_narcissicola_MUCL2120,3597,49654470,2001,289279,4088,13804.41,264,52289,1831,4010,39.60,0,11,4
F033BF16,Botryozyma mucatilis,Botryozyma_mucatilis_CBS_9042,807,17184950,2005,228109,10177,21294.86,109,45354,427,8933,26.09,0,6,2
F3AE8958,Botryozyma nematodophila,Botryozyma_nematodophila_NRRL_Y-17705,1370,16449679,2001,93547,8624,12007.06,284,17420,913,5682,27.63,0,7,5
FA2F389E,Botrytis aclada,Botrytis_aclada_633,16,48314413,2364192,4115563,2993755,3019650.81,7,3028304,14,2458475,40.35,8,10,12
F5362F83,Botrytis byssoidea,Botrytis_byssoidea_MUCL_94,59,42981876,20721,2599436,422491,728506.37,11,1263484,33,365004,40.68,0,0,6
F9A9046A,Botrytis cinerea,Botrytis_cinerea_B05.10,18,42630066,208766,4109373,2468882,2368337.00,7,2617329,15,2027721,42.00,10,12,15
F867B3E9,Botrytis deweyae,Botrytis_deweyae_B1,76,44366920,15844,2431782,354461,583775.26,13,1076441,47,272245,40.79,0,15,14
FF5E5046,Botrytis elliptica,Botrytis_elliptica_Be9401,26,49771809,147370,4879067,2216620,1914300.35,7,2914681,16,1139473,38.45,7,19,13
FCE68628,Botrytis fabae,Botrytis_fabae_G12,16,44982877,2168666,4173360,2837732,2811429.81,7,2905886,14,2207953,40.03,16,16,16
F599257B,Botrytis fragariae,Botrytis_fragariae_BVB16,28,41923773,25058,3899889,1372701,1497277.61,7,2431652,18,891040,41.61,4,12,11
FBA33D73,Botrytis galanthina,Botrytis_galanthina_MUCL435,1300,41912279,2001,354402,16257,32240.21,191,67796,632,17631,42.22,0,6,2
F27FA8ED,Botrytis hyacinthi,Botrytis_hyacinthi_Bh0001,1267,42554389,2005,532180,6307,33586.73,109,118172,415,16109,41.50,0,0,2
F604C658,Botrytis medusae,Botrytis_medusae_B555,137,40165279,21904,1583565,187224,293177.22,26,516041,85,155558,41.99,0,13,13
F259F2FE,Botrytis paeoniae,Botrytis_paeoniae_Bp0003,1260,45631839,2010,901367,9800,36215.75,104,133951,507,14025,40.57,0,10,9
F24602C9,Botrytis porri,Botrytis_porri_MUCL_3234,31,46789968,123810,4253626,1168827,1509353.81,8,2706297,18,755591,39.77,0,0,4
F8F47E41,Botrytis pseudocinerea,Botrytis_pseudocinerea_BP362,204,40468933,10974,1616687,157529,198377.12,45,281454,135,117182,42.20,0,9,6
F65B6F41,Botrytis sinoallii,Botrytis_sinoallii_Bc_23,47,61289320,53228,6466933,896832,1304028.09,10,2252689,30,639060,38.55,0,1,6
FE5E5028,Botrytis squamosa,Botrytis_squamosa_MUCL_31421,19,54683200,253187,6112245,2935640,2878063.16,7,3203072,14,2374008,37.37,10,16,13
FF9CEC31,Botrytis tulipae,Botrytis_tulipae_Bt9001,558,45245229,2015,738496,39886,81084.64,84,172848,269,43841,40.08,0,0,2
F651B3F3,Brachybasidiaceae sp.,Brachybasidiaceae_sp._CTeuk-1727,531,5324967,3003,103817,6109,10028.19,99,13960,385,4335,44.90,0,0,0
F11ED2CC,Brasilioporus rufonigricans,Brasilioporus_rufonigricans_G4407,8727,66944402,2001,196282,4372,7670.95,1345,11254,6081,3149,47.87,0,6,12
FD4CCC8B,Brettanomyces anomalus,Brettanomyces_anomalus_CBS_7654,24,12497992,2011,1824870,428324,520749.67,4,1344041,12,428324,39.91,0,0,0
F1E14C4E,Brettanomyces bruxellensis,Brettanomyces_bruxellensis_UCD_2041,9,13150648,266431,3845411,1192331,1461183.11,2,2936442,7,593140,39.86,0,0,0
F5346904,Brettanomyces custersianus,Brettanomyces_custersianus_CRL-53,5,10444829,1142697,2970165,2003609,2088965.80,2,2640300,5,1142697,40.04,0,0,0
FA6F6B47,Brettanomyces naardenensis,Brettanomyces_naardenensis_CRL-65,6,11222791,48592,3294097,1984059,1870465.17,2,3001409,4,1839155,44.22,0,0,1
F48F5649,Brettanomyces nanus,Brettanomyces_nanus_CBS_1945,5,10186858,69606,4259431,1427540,2037371.60,2,3303233,4,1127048,41.51,0,0,0
F0A9ACB3,Brettanomyces sp. HC-2020a,Brettanomyces_sp._HC-2020a_kh3,90,15025300,2036,1316646,88415,166947.78,13,377153,44,89591,39.59,0,0,0
F378BE93,Bretziella fagacearum,Bretziella_fagacearum_CMW_2656,1073,26580688,2019,190413,16124,24772.31,188,42305,632,12569,47.10,0,10,13
F6BE9C19,Bryoglossum gracile,Bryoglossum_gracile_AWW_858,5104,61351577,2001,371239,4124,12020.29,337,43464,2877,3731,42.09,0,49,43
FC2B7A4D,Buglossoporus quercinus,Buglossoporus_quercinus,14,37499199,70883,5335226,2609963,2678514.21,5,2925245,11,1940176,53.29,2,5,4
F638E2E8,Bullera alba,Bullera_alba_JCM_2954,8,19417308,9204,8012737,1991585,2427163.50,2,2864929,6,1476411,54.31,0,2,0
FEC25420,Butyriboletus appendiculatus,Butyriboletus_appendiculatus_KM172029,2373,26070607,2005,329244,4985,10986.35,273,21614,1430,3953,49.52,0,2,1
FC579A27,Butyriboletus pseudospeciosus,Butyriboletus_pseudospeciosus_TRTC157153,3611,21546831,2002,62470,3929,5967.00,751,7700,2684,2717,48.21,0,4,4
F5F33A58,Butyriboletus regius,Butyriboletus_regius_KM167115,3995,26519448,2001,105485,4263,6638.16,784,9075,2896,2908,48.67,0,1,1
F2EA1AF2,Butyriboletus roseoflavus,Butyriboletus_roseoflavus_LA02,66,33975496,4063,3397327,41145,514780.24,6,2704075,12,1089073,49.02,0,0,5
FE2639EA,Byssochlamys sp. AF001,Byssochlamys_sp._AF001_AF001,10,35878077,589216,7148039,4427893,3587807.70,4,4599098,8,1872899,45.89,6,7,7
F8D77D4A,Byssochlamys sp. BYSS01,Byssochlamys_sp._BYSS01_BYSS01,167,28887350,2034,1301451,37935,172978.14,19,482349,58,161663,49.42,0,0,0
F38EBA79,Byssochlamys sp. IMV 00236,Byssochlamys_sp._IMV_00236_IMV_00236,843,47573060,10160,1034423,23708,56433.05,59,186555,521,20301,42.88,0,4,2
F1047EE5,Byssoonygena ceratinophila,Byssoonygena_ceratinophila_UAMH_5669,1120,23818017,2001,643678,3881,21266.09,52,129087,378,6194,46.90,0,6,6
F451B373,Byssothecium circinans,Byssothecium_circinans_CBS_675.92,141,49259601,2040,2118044,152077,349358.87,18,869913,59,241289,47.23,0,8,10
F86FFE28,Cadophora gregata,Cadophora_gregata_MNR1,95,47765811,3179,4152374,17102,502798.01,8,2432882,17,1759199,46.10,3,10,8
F1126D48,Cadophora luteo-olivacea,Cadophora_luteo-olivacea_CBS_128576,222,47459596,2011,2097163,30530,213781.96,21,687260,73,183895,48.20,0,15,21
F10A3DEB,Cadophora malorum,Cadophora_malorum_M34,722,48828797,2194,931894,41736,67629.91,127,122196,417,33991,48.02,1,17,14
FF1B2460,Cadophora sp. DSE1049,Cadophora_sp._DSE1049,321,46586809,5062,933789,88587,145130.25,50,282950,170,77771,48.57,0,17,10
F8DA531F,Cadophora sp. M221,Cadophora_sp._M221_M221,2197,57997416,2023,316907,14675,26398.46,353,49654,1209,12473,46.50,0,5,4
FB080388,Caecomyces sp.,Caecomyces_sp._SIG737,9745,57836476,2500,43115,4711,5934.99,2733,6720,7717,3229,18.85,0,9,5
F88C307D,Caeruleum heppii,Caeruleum_heppii_JK_8506_TS-e1937,46,20598527,5741,1385014,344639,447794.07,10,767177,27,273563,54.50,1,9,7
F86E1568,Cairneyella variabilis,Cairneyella_variabilis_VPRI_42388,2480,49456081,2006,269065,9504,19941.97,329,40226,1341,8518,47.85,0,9,8
F8ECF777,Calcarisporium arbuscula,Calcarisporium_arbuscula_NRRL_3705,91,44986109,3089,3941193,92994,494352.85,10,1530317,30,523464,49.74,0,0,1
F55800BB,Caloboletus calopus,Caloboletus_calopus_MG23,1759,30723624,2002,539819,6301,17466.53,131,49705,901,6022,48.33,0,1,4
FB72A9D0,Caloboletus firmus,Caloboletus_firmus_UT-M0002074,2696,32912486,2001,246996,4393,12207.90,223,37829,1501,3913,48.35,0,2,5
FC784116,Caloboletus inedulis,Caloboletus_inedulis_MICH10105,5005,29109580,2003,113008,4143,5816.10,1152,7209,3770,2802,49.88,0,8,4
F13F58B8,Calocera cornea,Calocera_cornea_HHB12733,438,33091005,2020,592208,39765,75550.24,65,169300,205,44255,56.33,0,2,4
F36D81FF,Calocera viscosa,Calocera_viscosa_TUFC12733,173,29038208,2054,1238575,65858,167850.91,23,470396,71,116409,55.86,0,10,3
F7374259,Calocybe cyanea,Calocybe_cyanea_D48,3771,39561270,2001,550342,3926,10490.92,307,26352,2219,3336,46.05,0,2,6
F22E078B,Calocybe gambosa,Calocybe_gambosa,2143,27851905,2001,441656,5734,12996.69,217,26238,1237,4665,46.16,0,3,3
FE756A6B,Calocybe gangraenosa,Calocybe_gangraenosa_D65,2280,30324881,2001,367313,3700,13300.39,145,46127,1124,3781,46.53,0,0,1
F67EF305,Calocybe indica,Calocybe_indica_APK2,14,33482125,118758,3886448,2530237,2391580.36,6,2588171,12,1939048,49.90,7,10,8
F194583B,Calonectria aciculata,Calonectria_aciculata_CMW_47645,207,61573299,2014,3424287,150906,297455.55,25,675778,107,144823,49.61,1,8,11
F661DD9A,Calonectria crousiana,Calonectria_crousiana_CMW_27249,309,58022081,2030,1623812,100166,187773.72,46,419924,155,100166,50.41,0,0,2
F00901EC,Calonectria fujianensis,Calonectria_fujianensis_CMW_27257,180,61438553,2350,3277375,198331,341325.29,24,695013,91,195682,49.59,0,5,7
FC0A007C,Calonectria hawksworthii,Calonectria_hawksworthii_S6964,84,64775816,2123,3814479,310064,771140.67,13,1995718,34,507820,49.05,0,10,12
F2D18BB7,Calonectria henricotiae,Calonectria_henricotiae_JAC13-131,504,52983797,2024,781432,57918,105126.58,77,208148,256,56849,46.99,0,6,7
F34E3C88,Calonectria honghensis,Calonectria_honghensis_CMW_47669,126,61729094,2436,4986760,260122,489913.44,19,1034491,59,296421,49.88,0,4,6
F741C337,Calonectria hongkongensis,Calonectria_hongkongensis_CMW_47271,68,61668599,2055,4339692,662989,906891.16,12,1665378,34,662989,48.98,0,0,1
FCCFEA56,Calonectria ilicicola,Calonectria_ilicicola_GDYJ169,12,69943776,1355330,8361424,5851877,5828648.00,5,6787370,10,4267126,46.67,0,4,0
FDC873DE,Calonectria leucothoes,Calonectria_leucothoes_CBS_109166,680,60792909,2004,1302714,18445,89401.34,70,278119,241,68118,49.80,0,5,4
F322E0E7,Calonectria montana,Calonectria_montana_PCam007,13,59301110,47594,9318130,4449124,4561623.85,4,6356788,10,3179361,47.25,0,0,0
F06270D0,Calonectria multiphialidica,Calonectria_multiphialidica_CBS_112678,431,62599821,2034,1466619,47616,145243.20,45,418933,168,93580,50.20,0,2,5
FA4D815A,Calonectria naviculata,Calonectria_naviculata_CBS_101121,2307,62165053,2004,789952,11667,26946.27,267,62593,1093,13026,50.43,0,2,9
FD12EA72,Calonectria pauciramosa,Calonectria_pauciramosa_CBS_138824,64,62523451,2023,4627639,138881,976928.92,9,3149754,21,1251296,49.21,1,10,11
F922B2DC,Calonectria pseudonaviculata,Calonectria_pseudonaviculata_CBS_139395,24,54970882,2168,5578780,2395464,2290453.42,7,3534399,15,1743242,45.38,3,9,9
F6B97B7E,Calonectria pseudoreteaudii,Calonectria_pseudoreteaudii_YA51,200,63424580,2010,5148149,52791,317122.90,14,1316248,56,266125,48.09,0,8,7
F566D936,Calonectria pseudoturangicola,Calonectria_pseudoturangicola_CMW_47496,146,62045272,2525,2215269,237298,424967.62,22,875482,70,266541,48.74,0,7,7
F0C281F5,Calonectria pteridis,Calonectria_pteridis_LPF059,714,57735918,2010,1316024,10556,80862.63,48,329321,207,56422,50.37,0,1,3
FD454FF5,Caloplaca aegaea,Caloplaca_aegaea_LIQ143CAAG,3859,27785194,2001,124082,4563,7200.10,742,10094,2737,3079,44.94,0,6,6
F5CA16A7,Caloplaca aetnensis,Caloplaca_aetnensis_LIQ82CAATT,2029,30850066,2002,289619,9123,15204.57,320,25292,1231,6756,49.90,0,10,8
F87A99EF,Caloplaca ligustica,Caloplaca_ligustica_LIQ85CALI,1537,23718304,2001,103250,11582,15431.56,354,19826,1096,7736,51.81,0,1,2
F49D8E12,Calvatia gigantea,Calvatia_gigantea_CGMCC_5.752,89,46042072,4314,4943541,27679,517326.65,6,3024973,15,631362,47.50,1,2,4
F80F1F54,Calycina marina,Calycina_marina_TRa3180A,1168,33990949,2003,375165,15538,29101.84,171,54827,650,12899,47.61,0,3,3
F112B1B0,Camillea tinctor,Camillea_tinctor_CBS_203.56,201,44965271,2057,1826994,102078,223707.82,26,528634,87,147149,46.62,0,8,8
F8792FB6,Camptophora hylomeconis,Camptophora_hylomeconis_CBS_113311,56,26255998,3355,1564891,325909,468857.11,10,997675,33,252550,46.45,0,6,9
F7E88DC8,Canariomyces notabilis,Canariomyces_notabilis_CBS_508.74,63,30982062,2090,2828727,337869,491778.76,11,820646,34,313653,54.24,0,1,1
F0BF46B6,Canariomyces subthermophilus,Canariomyces_subthermophilus_CS-A,411,31033048,2039,676896,52273,75506.20,70,138935,213,44842,54.48,0,2,3
F18311DC,Candelaria pacifica,Candelaria_pacifica_Spribille_42405_TS-e1880,667,28668671,2002,1061312,5115,42981.52,34,254030,141,22014,44.50,0,18,14
F2AE9633,Candelina mexicana,Candelina_mexicana_AC779_DDE408,57,33725466,4784,2844182,439998,591674.84,11,1285227,29,439998,42.19,1,18,14
FB3B78AF,Candelina submexicana,Candelina_submexicana_AH-540_DDE406,2104,22511620,2005,215132,6408,10699.44,364,17189,1355,4363,48.15,0,8,2
F08B9203,Candida africana,Candida_africana_CEC4854,7,11765612,910647,3165585,1629027,1680801.71,3,1768346,6,942358,33.28,0,0,0
FAF69C23,Candida albicans,Candida_albicans_SC5314,8,14282666,949511,3188341,1799298,1785333.25,3,2231883,7,1033292,33.44,0,0,0
F5454932,Candida blackwelliae,Candida_blackwelliae_CBS_10843,632,11247634,2001,142006,10314,17796.89,108,33062,366,7901,49.85,0,0,0
F0F5A79C,Candida bohioensis,Candida_bohioensis_NRRL_Y-27737,349,15900255,2044,298931,21234,45559.47,48,105953,160,27063,23.90,0,3,4
F8AE3544,Candida buenavistaensis,Candida_buenavistaensis_NRRL_Y-27734,495,12134328,2098,203722,15535,24513.79,81,44196,285,12072,32.24,0,0,2
FC2534E9,Candida chauliodis,Candida_chauliodis_NRRL_Y-27909,96,11454171,2117,690455,70132,119314.28,17,239195,46,72022,34.77,0,0,1
FF7C1937,Candida coleopterorum,Candida_coleopterorum_CBS_14180,704,12540348,2013,129389,9862,17812.99,119,32886,399,7438,29.00,0,3,0
F1AFCF3B,Candida corydali,Candida_corydali_NRRL_Y-27910,49,11014294,2465,991518,148494,224781.51,8,417796,26,137147,34.10,0,0,0
F164FFBF,Candida dubliniensis,Candida_dubliniensis_CD36,8,14618422,1022435,3214061,1863824,1827302.75,3,2267510,7,1073895,33.25,0,0,0
FD12B00C,Candida frijolesensis,Candida_frijolesensis_NRRL_Y-48060,746,15259053,2005,297967,8532,20454.49,93,47094,395,7998,37.19,0,1,0
F68C2F7D,Candida gigantensis,Candida_gigantensis_NRRL_Y-27736,615,15322536,2004,441406,8784,24914.69,75,60864,294,9722,34.25,0,1,0
F77C9213,Candida jiufengensis,Candida_jiufengensis_CBS_10846,19,13693368,2823,3099340,406133,720703.58,4,1273379,10,406133,27.21,0,0,0
FA3D947E,Candida labiduridarum,Candida_labiduridarum_NRRL_Y-27940,348,14647486,2030,511020,20472,42090.48,46,87198,180,19721,36.27,0,0,0
FB4CBD71,Candida maltosa,Candida_maltosa_NRRL_Y-17677,1052,14962357,2011,214713,6905,14222.77,151,28202,623,5292,34.14,0,2,1
F115D0AB,Candida margitis,Candida_margitis_CBS_14175,163,12875262,2030,857678,33555,78989.34,21,193096,73,46526,38.18,0,1,0
F04C5EB0,Candida metapsilosis,Candida_metapsilosis_BP57,9,13093275,236193,3396163,1080804,1454808.33,3,2138570,7,803409,38.08,0,0,0
F0B645DB,Candida morakotiae,Candida_morakotiae_NRRL_Y-48708,48,12015882,2001,1180773,188279,250330.88,8,469253,24,188279,26.72,0,0,0
FD6EFB7E,Candida neerlandica,Candida_neerlandica_NRRL_Y-27057,287,14388179,2001,349698,25894,50133.03,46,98175,147,24549,34.91,0,0,1
F1D81D6C,Candida orthopsilosis,Candida_orthopsilosis_Co_90-125,8,12659401,613068,2936865,1591921,1582425.12,3,1644167,7,937312,36.93,0,0,0
F8E19600,Candida oxycetoniae,Candida_oxycetoniae_CBS_10844,101,12807956,2246,614105,88598,126811.45,19,215035,59,68745,37.83,0,0,1
F6990E51,Candida parablackwelliae,Candida_parablackwelliae_CBS_15228,806,12248928,2002,128184,8726,15197.18,137,26322,480,6608,50.45,0,0,0
F0592A16,Candida parachauliodes,Candida_parachauliodes_CBS_13928,71,11114866,2081,731567,101380,156547.41,13,315020,36,101380,32.23,0,0,0
FF96D166,Candida parapsilosis,Candida_parapsilosis_CDC317,9,13031138,32745,3023470,1039767,1447904.22,3,2091826,7,957321,38.68,0,0,0
FCBA5FCE,Candida pseudojiufengensis,Candida_pseudojiufengensis_CBS_10847,47,14015611,2946,1519435,163540,298204.49,7,828659,21,187028,28.19,0,0,0
F83AE444,Candida pseudoviswanathii,Candida_pseudoviswanathii_CBS_13916,353,13538628,2016,237838,20406,38353.05,53,82461,185,19091,44.72,0,0,0
F8A2056F,Candida sakaeoensis,Candida_sakaeoensis_CBS_12318,243,11932825,2059,377299,26112,49106.28,34,116601,117,28539,36.00,0,1,0
FFD60FE2,Candida sanyaensis,Candida_sanyaensis_UCD423,207,31447327,12367,2956519,66336,151919.45,12,282708,124,59485,31.45,0,2,0
F0792730,Candida sojae,Candida_sojae_NCYC-2607,41,15184373,9471,3035446,34206,370350.56,4,1778095,10,310959,32.38,0,0,0
FDB1811F,Candida sp. LDI48194,Candida_sp._LDI48194_LDI48194,366,13989972,2261,171427,30096,38223.97,99,49169,279,19946,33.05,0,0,0
F64CA178,Candida sp. LN1,Candida_sp._LN1_LN1,489,14222070,2010,290865,13538,29083.99,68,64020,248,13294,32.99,0,1,0
F8D04993,Pichia sp. PB3310,Candida_sp._PB3310_PB3310,433,22945608,2175,431991,31718,52992.17,70,91457,242,25713,28.19,0,1,1
F489DAB0,Candida sp. Y128-05C,Candida_sp._Y128-05C_Y128-05C,964,24735265,2003,215288,15376,25658.99,159,46429,560,12054,35.26,0,1,4
FA00F1E7,Candida sp. Y128-05E,Candida_sp._Y128-05E_Y128-05E,977,24726788,2003,215006,15217,25308.89,160,45555,566,11859,35.24,0,1,4
F3B9F3F1,Candida tetrigidarum,Candida_tetrigidarum_NRRL_Y-48142,510,13922934,2008,174889,16401,27299.87,85,48413,291,12818,35.78,0,0,1
FD31B569,Candida theae,Candida_theae_CBS_12239,157,12415910,2048,507754,29883,79082.23,19,205210,71,38003,40.16,0,0,0
FE432CEC,Candida tropicalis,Candida_tropicalis_MYA-3404,24,14630139,4896,2474448,125861,609589.12,4,1654078,9,498422,33.03,0,0,0
F172D1B0,Candida verbasci,Candida_verbasci,8,12165646,37405,4633977,1376379,1520705.75,2,1775161,6,802873,28.15,0,0,0
F044FC3D,Candida xiaguanensis,Candida_xiaguanensis_CBS_13923,136,12065427,2109,616553,37862,88716.38,17,244525,62,43630,27.64,0,0,0
FCAE58FD,Candolleomyces aberdarensis,Candolleomyces_aberdarensis_IHI_B618,2258,60537327,2016,354805,12546,26810.15,297,57370,1219,11014,50.25,0,5,3
FC18AD65,Candolleomyces efflorescens,Candolleomyces_efflorescens_VT131,524,33513568,2011,725109,25510,63957.19,66,158341,240,31728,51.10,0,6,8
F41267C2,Candolleomyces eurysporus,Candolleomyces_eurysporus_VTCC_930004,1957,69959742,2069,682659,16583,35748.46,234,78579,1052,14832,49.98,0,3,8
F2951465,Cantharellus anzutake,Cantharellus_anzutake_C23,613,120172803,3134,3330657,72691,196040.46,53,576606,303,73259,49.24,0,0,0
F3F06A01,Cantharellus cinnabarinus,Cantharellus_cinnabarinus_MG28,7245,53832111,2001,302150,4662,7430.24,1326,10266,5141,3216,47.14,0,7,13
F16D8DFE,Cantharellus purpuraceus,Cantharellus_purpuraceus_GAF-M-20071601,50,40153731,19130,3972391,391632,803074.62,7,2068469,25,391632,47.74,0,0,1
FDAC0301,Capillidium heterosporum,Capillidium_heterosporum_CGMCC_3.15857,62,29835334,2953,3241049,35092,481215.06,6,1676544,14,1175382,36.85,0,0,0
FE27A8BE,Capillidium rhysosporum,Capillidium_rhysosporum_ATCC_12588,1834,42380108,2038,123355,17504,23108.02,433,31750,1298,11358,20.55,0,4,2
F3D937C5,Capniomyces stellatus,Capniomyces_stellatus_MIS-10-108,71,24844854,2872,1890184,275066,349927.52,14,595855,38,252028,37.35,0,0,0
FAF22CDB,Capronia coronata,Capronia_coronata_CBS_617.96,10,25806497,89884,4604234,2754123,2580649.70,4,3204506,8,1470957,52.75,0,0,0
FC24133B,Capronia epimyces,Capronia_epimyces_CBS_606.96,14,28884501,4035,4994026,1638037,2063178.64,4,3720060,9,1527046,53.15,0,0,0
